number,name,status
1,PEP Purpose and Guidelines,Active
8002,Open Source Governance Survey,Final
8000,Python Language Governance Proposal Overview,Final
8101,2020 Term Steering Council election,
8103,2022 Term Steering Council election,
8102,2021 Term Steering Council election,
8100,January 2019 Steering Council election,Final
8016,The Steering Council Model,Accepted
8104,2023 Term Steering Council election,
801,Reserved,Active
458,Secure PyPI downloads with signed repository metadata,
693,Python 3.12 Release Schedule,Active
3333,Python Web Server Gateway Interface v1.0.1,
664,Python 3.11 Release Schedule,Active
636,Structural Pattern Matching: Tutorial,
672,Unicode-related Security Considerations for Python,Active
8015,Organization of the Python community,Rejected
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
8014,The Commons Governance Model,Rejected
3153,Asynchronous IO support,Superseded
8012,The Community Governance Model,Rejected
8013,The External Council Governance Model,Rejected
3152,Cofunctions,Rejected
8010,The Technical Leader Governance Model,Rejected
3139,Cleaning out sys and the “interpreter” module,Rejected
3146,Merging Unladen Swallow into CPython,Withdrawn
3142,Add a “while” clause to generator expressions,Rejected
3140,"str(container) should call str(item), not repr(item)",
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
3136,Labeled break and continue,Rejected
3130,Access to Current Module/Class/Function,Rejected
3133,Introducing Roles,Rejected
3128,BList: A Faster List-like Type,
3117,Postfix type declarations,Rejected
3126,Remove Implicit String Concatenation,Rejected
3122,Delineation of the main module,Rejected
3001,Procedure for reviewing and improving standard library modules,Withdrawn
3125,Remove Backslash Continuation,Rejected
3103,A Switch/Case Statement,Rejected
754,IEEE 754 Floating Point Special Values,Rejected
707,A simplified signature for __exit__ and __aexit__,
677,Callable Type Syntax,
690,Lazy Imports,
704,Require virtual environments by default for package installers,
666,Reject Foolish Indentation,Rejected
665,A file format to list Python dependencies for reproducibility of an application,
663,"Standardizing Enum str(), repr(), and format() behaviors",
662,Editable installs via virtual wheels,
651,Robust Stack Overflow Handling,Rejected
648,Extensible customizations of the interpreter at startup,
650,Specifying Installer Requirements for Python Projects,
645,Allow writing optional types as ,
637,Support for indexing with keyword arguments,
641,Using an underscore in the version portion of Python 3.10 compatibility tags,
640,Unused variable syntax,Rejected
642,Explicit Pattern Syntax for Structural Pattern Matching,
